n	antprob	prob_change	variance	rich	connect	autoval	max_autoval
B_NS-PP-mosquin-1967	0,085264638	0,041202486	2,512	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,455385015	0,192190906	58,636	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,485617482	0,16994325	42,488	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,104255085	0,05919774	91,298	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,938068069	0,068175101	353,654	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,021578283	0,365341507	0,41	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,1667532	0,079315547	70,85	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,012911003	0,274847823	0,3	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,405107218	0,292198871	95,33	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,079672797	0,493257037	11,272	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,064134073	0,766492112	1,881	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,058917361	0,244925905	6,736	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,637301278	0,176164942	133,467	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,879781071	0,838429567	177,205	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,585728367	0,466159523	192,374	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,830049508	0,474822769	156,874	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,491787455	0,667571369	179,495	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,477177226	0,809219128	92,798	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,504544064	0,692536858	55,557	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,796774368	0,426258301	315,17	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,553271924	0,045025114	189,892	30	0,054	5,167	7
B_NS-PP-mosquin-1967	0,891655975	0,19739267	230,928	30	0,054	5,167	7
B_NS-PP-olesen_aigrettes	0,124796326	0,520714936	16,12	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,435113598	0,613405741	102,726	27	0,071	5,24	7,211
B_NS-PP-olesen_aigrettes	0,866854137	0,096984684	238,808	27	0,071	5,24	7,211
