File	N.modules	Modularity	P.Null1	P.Null2
B_NS-PP-mosquin-1967_init_21.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_22.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_23.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_24.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_25.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_26.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_27.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_28.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_29.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_3.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_30.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_4.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_5.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_6.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_7.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_8.txt	5	0.391087	0.000000	0.000000
B_NS-PP-mosquin-1967_init_9.txt	5	0.391087	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_1.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_10.txt	6	0.669187	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_11.txt	6	0.434211	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_12.txt	5	0.558594	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_13.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_14.txt	5	0.699588	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_15.txt	7	0.576531	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_16.txt	7	0.623819	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_17.txt	6	0.573980	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_18.txt	6	0.465306	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_19.txt	5	0.533819	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_2.txt	7	0.686400	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_20.txt	5	0.476250	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_21.txt	5	0.543184	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_22.txt	5	0.660714	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_23.txt	6	0.505306	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_24.txt	6	0.725694	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_25.txt	5	0.543184	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_26.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_27.txt	6	0.737600	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_28.txt	8	0.484375	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_29.txt	4	0.485828	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_3.txt	4	0.334320	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_30.txt	4	0.624350	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_4.txt	5	0.627824	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_5.txt	5	0.652800	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_6.txt	5	0.427978	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_7.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_8.txt	5	0.500772	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_coevo_9.txt	4	0.377546	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_1.txt	4	0.340237	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_10.txt	6	0.538752	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_11.txt	5	0.429363	0.000000	0.000000
B_NS-PP-olesen_aigrettes_final_control_12.txt	5	0.468750	0.000000	0.000000
